AreaM2,Type,Location,DurationDays,MaterialQuantity,LaborHours
255.783,Residencial,Medellin,98,285.714,45.282
3532.376,Comercial,Medellin,228,5779.035,800.721
3997.372,Comercial,Rural,163,5031.184,810.059
2386.451,Industrial,Medellin,459,4468.221,692.562
3526.755,Comercial,Rural,425,5800.648,680.796
1217.97,Industrial,Bogota,429,2525.306,386.252
2634.148,Remodelacion,Medellin,452,3327.952,640.983
1386.276,Industrial,Bogota,335,2775.649,394.227
1398.472,Residencial,Barranquilla,316,1777.922,266.323
2672.517,Residencial,Bogota,407,3834.141,682.649
1427.969,Residencial,Cali,181,1584.629,250.516
2588.243,Residencial,Rural,102,2703.731,397.908
2580.003,Industrial,Rural,183,3951.527,565.447
1734.115,Residencial,Barranquilla,275,2128.948,346.729
1666.064,Industrial,Rural,340,2633.091,388.073
2177.718,Remodelacion,Barranquilla,165,2140.749,499.735
1825.269,Remodelacion,Cali,415,1938.331,455.525
1700.917,Residencial,Cali,206,1867.49,352.277
1864.021,Comercial,Cali,348,2983.949,385.716
782.024,Remodelacion,Cali,437,970.901,200.787
861.391,Remodelacion,Rural,311,869.108,202.623
2037.531,Comercial,Bogota,70,3274.542,446.528
3680.739,Industrial,Bogota,193,6348.313,972.477
468.991,Residencial,Barranquilla,29,467.609,85.456
3314.553,Remodelacion,Medellin,295,3465.155,870.715
1178.685,Industrial,Bogota,20,1971.298,265.531
2138,Remodelacion,Cali,351,2515.596,544.546
3563.13,Comercial,Cali,415,6288.729,886.734
3768.211,Remodelacion,Barranquilla,61,3571.797,842.711
3396.882,Residencial,Barranquilla,464,4839.249,767.42
1794.905,Remodelacion,Bogota,144,2034.245,424.736
2316.188,Remodelacion,Rural,47,2040.375,426.74
3405.506,Comercial,Bogota,468,6147.179,968.438
2066.569,Remodelacion,Bogota,274,2475.994,520.444
549.013,Residencial,Barranquilla,73,556.496,94.13
1550.836,Industrial,Rural,346,2480.193,413.781
1944.039,Industrial,Cali,40,2810.493,469.177
3709.872,Remodelacion,Rural,164,3206.981,740.641
3328.844,Remodelacion,Bogota,401,4155.12,991.152
3141.203,Remodelacion,Medellin,423,3539.352,851.898
2468.53,Comercial,Barranquilla,228,3763.929,489.597
1490.57,Residencial,Bogota,70,1798.19,290.443
1428.926,Comercial,Barranquilla,90,1978.467,289.238
1435.56,Remodelacion,Rural,175,1259.233,280.888
1658.653,Industrial,Bogota,85,3025.803,413.165
2986.436,Industrial,Cali,438,5644.812,884.745
476.863,Comercial,Medellin,333,854.02,101.764
1203.285,Industrial,Medellin,269,2160.989,350.114
641.278,Industrial,Medellin,238,1138.958,161.49
2657.24,Comercial,Bogota,242,4153.404,578.814
719.318,Residencial,Medellin,354,952.277,165.339
174.748,Comercial,Bogota,416,301.989,41.894
2298.762,Industrial,Rural,416,3676.354,585.36
3614.948,Remodelacion,Bogota,77,4019.987,812.181
525.101,Comercial,Bogota,89,770.563,105.684
2607.805,Industrial,Cali,56,3954.594,617.327
3543.932,Industrial,Medellin,244,6298.973,841.351
3790.167,Comercial,Cali,69,5504.331,784.092
1860.522,Remodelacion,Medellin,301,2102.216,433.243
222.54,Residencial,Medellin,441,321.295,45.529
3255.679,Remodelacion,Bogota,426,3959.814,903.678
2911.311,Comercial,Bogota,85,4777.315,624.962
856.529,Comercial,Medellin,38,1126.435,175.392
2849.709,Residencial,Medellin,123,3450.141,530.937
3696.023,Residencial,Bogota,135,4312.009,740.162
1971.712,Remodelacion,Rural,139,1799.232,405.05
3378.691,Residencial,Bogota,98,4079.661,655.963
2774.371,Comercial,Rural,367,4094.391,537.571
3268.904,Residencial,Rural,267,3524.439,596.375
2931.13,Industrial,Bogota,362,6376.678,812.036
1501.035,Comercial,Cali,342,2488.032,303.775
2068.232,Remodelacion,Barranquilla,359,2143.947,462.318
2488.699,Industrial,Barranquilla,457,4739.827,668.005
2511.977,Residencial,Barranquilla,424,3304.278,474.117
2377.956,Remodelacion,Barranquilla,192,2355.784,483.934
1733.943,Residencial,Bogota,435,2739.847,443.35
3823.826,Remodelacion,Barranquilla,395,4075.334,935.088
1720.606,Residencial,Rural,367,2201.106,335.759
3827.008,Remodelacion,Bogota,397,4509.026,1127.422
2181.198,Comercial,Bogota,218,3397.777,527.736
1015.904,Residencial,Cali,320,1258.629,188.489
77.556,Industrial,Barranquilla,352,149.601,20.461
2849.969,Remodelacion,Rural,100,2447.864,543.132
897.619,Remodelacion,Bogota,62,904.37,218.84
174.309,Industrial,Rural,163,253.151,36.939
3495.827,Industrial,Rural,461,6248.06,827.389
198.77,Remodelacion,Barranquilla,347,223.495,45.02
3732.215,Residencial,Barranquilla,253,4214.94,685.942
3468.125,Comercial,Bogota,331,5881.846,817.53
2690.66,Residencial,Barranquilla,325,3445.245,555.427
500.745,Industrial,Medellin,215,922.258,128.289
2673.01,Industrial,Medellin,397,4884.442,784.573
2386.326,Industrial,Bogota,401,4673.189,675.56
3878.846,Industrial,Cali,328,6910.045,1123.265
1132.358,Residencial,Medellin,297,1432.639,230.358
1564.261,Comercial,Bogota,49,2362.126,300.285
3414.034,Industrial,Medellin,162,6075.201,830.407
310.619,Residencial,Medellin,182,353.86,62.956
774.232,Remodelacion,Rural,265,766.743,152.753
850.669,Comercial,Medellin,182,1224.54,187.718
675.885,Residencial,Cali,400,894.467,149.314
2127.434,Industrial,Rural,39,3130.436,449.089
3209.309,Industrial,Barranquilla,82,4929.658,709.978
3076.591,Remodelacion,Bogota,297,3597.101,805.769
1688.685,Remodelacion,Barranquilla,49,1602.207,320.579
3177.072,Comercial,Medellin,355,5074.286,787.352
3608.49,Residencial,Barranquilla,237,4527.599,691.046
3183.033,Residencial,Rural,178,3535.656,493.223
1646.194,Residencial,Rural,412,2052.163,300.222
2186.323,Industrial,Barranquilla,24,3130.136,484.624
337.469,Comercial,Barranquilla,372,522.867,75.106
1189.296,Residencial,Cali,435,1552.359,247.01
3177.51,Comercial,Bogota,275,5735.373,727.25
2363.253,Residencial,Bogota,317,3417.207,556.804
1225.784,Remodelacion,Rural,82,995.44,242.127
577.358,Remodelacion,Rural,31,468.642,105.655
3542.166,Residencial,Rural,196,3561.979,631.034
2117.154,Industrial,Rural,244,3073.784,467.122
530.097,Remodelacion,Barranquilla,190,515.487,113.632
1882.339,Comercial,Rural,425,2898.197,387.028
2283.054,Residencial,Rural,443,2976.874,433.397
2127.17,Remodelacion,Rural,359,2217.437,506.983
1545.51,Residencial,Bogota,229,1942.539,305.918
3815.328,Remodelacion,Rural,305,3458.971,787.261
3370.388,Remodelacion,Cali,247,3537.935,858.485
2237.14,Residencial,Cali,287,2945.79,479.077
3129.864,Industrial,Barranquilla,246,5641.056,742.2
1598.089,Comercial,Medellin,464,3097.453,373.434
1297.851,Residencial,Medellin,319,1839.12,280.113
1742.954,Remodelacion,Bogota,333,1967.023,422.783
3499.539,Residencial,Medellin,448,4735.155,808.066
912.817,Remodelacion,Medellin,75,907.509,201.163
1690.595,Comercial,Rural,290,2316.983,345.827
3550.568,Remodelacion,Barranquilla,135,3199.666,769.986
2636.421,Remodelacion,Bogota,437,3192.945,803.73
3032.927,Residencial,Cali,358,4035.799,676.973
361.914,Comercial,Medellin,316,622.384,78.092
3337.874,Residencial,Medellin,385,4400.638,718.068
3204.508,Remodelacion,Barranquilla,258,3445.412,693.143
920.738,Industrial,Rural,324,1453.928,211.249
2396.716,Comercial,Barranquilla,257,3538.346,512.342
3963.152,Industrial,Rural,447,6960.093,1064.965
1696.389,Residencial,Bogota,289,2322.318,407.95
873.187,Remodelacion,Barranquilla,298,860.636,197.148
621.357,Residencial,Medellin,167,752.729,131.781
296.924,Comercial,Bogota,446,522.259,76.54
2190.05,Comercial,Rural,370,3447.459,460.284
2510.49,Remodelacion,Medellin,460,2865.578,683.969
336.543,Industrial,Medellin,425,658.057,94.959
2447.25,Remodelacion,Medellin,175,2474.256,526.807
1107.817,Industrial,Bogota,410,2439.67,308.289
2323.136,Comercial,Bogota,340,3846.615,529.976
604.395,Comercial,Bogota,73,984.608,122.642
3886.659,Residencial,Bogota,365,5404.451,953.931
3158.921,Residencial,Rural,375,3694.463,546.055
931.047,Residencial,Rural,345,1100.789,161.038
1565.369,Remodelacion,Bogota,136,1646.952,387.484
1469.669,Comercial,Cali,68,2079.826,255.427
1440.429,Comercial,Bogota,465,2699.753,355.545
3953.61,Industrial,Cali,154,5940.451,982.122
488.838,Remodelacion,Bogota,80,502.823,122.422
639.846,Comercial,Rural,446,1038.838,130.021
943.441,Industrial,Rural,264,1465.018,235.563
1148.173,Industrial,Cali,466,2198.987,344.989
244.995,Comercial,Rural,373,381.32,55.834
2837.354,Residencial,Barranquilla,171,3059.482,526.308
1756.997,Residencial,Rural,368,2260.892,318.663
194.762,Comercial,Barranquilla,388,329.277,45.18
1507.522,Comercial,Bogota,277,2392.584,353.001
959.569,Residencial,Medellin,179,1089.95,175.755
3999.159,Comercial,Barranquilla,474,6519.139,965.149
1981.143,Remodelacion,Cali,126,1785.763,402.232
3833.579,Industrial,Barranquilla,86,6210.414,952.214
295.485,Comercial,Cali,107,406.696,55.589
3371.497,Residencial,Bogota,174,4077.687,764.271
790.222,Residencial,Bogota,339,1175.385,180.51
2347.419,Residencial,Medellin,77,2593.556,459.456
301.575,Residencial,Medellin,466,441.227,67.773
2615.753,Residencial,Medellin,202,3119.107,548.333
2790.374,Remodelacion,Rural,230,2475.232,538.273
2223.956,Residencial,Rural,290,2362.884,363.878
59.812,Comercial,Barranquilla,92,82.058,12.358
3134.461,Remodelacion,Rural,332,2942.028,663.591
3605.335,Remodelacion,Cali,294,3970.838,776.296
3126.404,Remodelacion,Rural,169,3055.242,694.693
2347.732,Residencial,Rural,82,2388.609,353.489
180.885,Comercial,Bogota,181,315.473,39.878
2899.515,Comercial,Cali,174,4315.612,576.041
3545.716,Residencial,Barranquilla,355,4574.958,682.359
2134.263,Remodelacion,Cali,386,2525.298,507.209
832.192,Industrial,Medellin,396,1633.543,232.471
3894.567,Industrial,Medellin,381,7661.448,1125.25
657.204,Industrial,Rural,114,1001.806,132.093
1931.057,Comercial,Bogota,235,3211.011,496.913
1063.625,Remodelacion,Cali,309,1167.157,262.07
2758.797,Residencial,Barranquilla,412,3438.703,547.151
326,Remodelacion,Rural,63,269.04,68.401
3891.754,Residencial,Medellin,41,4376.51,629.501
1505.143,Comercial,Bogota,147,2321.065,327.272
300.628,Industrial,Medellin,149,507.606,77.971
3467.386,Comercial,Bogota,364,5876.509,853.026
3879.569,Comercial,Medellin,305,6002.992,970.445
1125.759,Comercial,Bogota,117,1752.063,239.46
2450.142,Residencial,Medellin,277,3046.729,480.053
2158.735,Comercial,Rural,162,2991.277,395.359
212.349,Remodelacion,Medellin,110,201.121,43.015
3710.041,Residencial,Bogota,467,5304.072,849.354
2457.674,Industrial,Bogota,71,3825.688,675.197
1155.377,Remodelacion,Medellin,433,1427.079,297.862
1780.928,Comercial,Bogota,369,3086.975,464.895
1929.589,Industrial,Cali,470,3798.626,527.867
2502.408,Residencial,Bogota,49,2875.808,458.4
1375.474,Industrial,Bogota,25,2416.183,338.808
391.152,Comercial,Cali,475,629.395,101.827
743.457,Residencial,Bogota,20,902.721,152.09
3721.544,Residencial,Bogota,164,4777.25,750.606
3019.004,Industrial,Bogota,411,6277.954,994.127
3120.541,Residencial,Cali,464,4363.433,613.637
858.127,Comercial,Medellin,286,1433.003,205.634
1136.789,Comercial,Barranquilla,289,1832.909,240.144
915.57,Industrial,Medellin,126,1420.578,207.256
1079.9,Residencial,Bogota,351,1493.354,235.892
1363.436,Residencial,Rural,244,1450.795,256.283
1462.129,Residencial,Cali,57,1657.077,246.201
2286.457,Comercial,Cali,119,2986.054,410.002
3130.909,Residencial,Rural,361,3818.568,632.85
2413.466,Industrial,Bogota,228,4665.397,671.859
3584.021,Comercial,Bogota,37,5072.086,740.876
3441.312,Remodelacion,Medellin,400,3883.565,917.013
3395.37,Residencial,Rural,477,4438.229,714.815
2491.079,Residencial,Rural,81,2680.01,369.715
1973.277,Industrial,Barranquilla,48,3095.021,450.874
2900.571,Remodelacion,Cali,41,2507.033,578.233
659.965,Industrial,Bogota,50,1075.478,156.402
2929.888,Remodelacion,Rural,130,2748.623,583.234
211.015,Industrial,Rural,158,329.038,47.788
2221.875,Remodelacion,Cali,55,2057.046,478.505
3291.483,Remodelacion,Rural,301,3024.976,694.84
354.744,Remodelacion,Rural,257,357.357,70.342
2724.647,Industrial,Barranquilla,360,4816.554,785.059
634.683,Residencial,Barranquilla,75,629.429,104.96
3141.037,Comercial,Bogota,411,5835.368,795.146
3061.394,Residencial,Rural,229,3246.211,544.308
1393.01,Residencial,Rural,305,1523.899,233.978
2160.639,Industrial,Barranquilla,364,3963.775,543.609
3873.701,Remodelacion,Medellin,276,4547.46,913.713
3809.356,Industrial,Barranquilla,305,6972.515,1007.873
1019.357,Residencial,Medellin,262,1360.067,217.862
633.165,Residencial,Medellin,78,710.131,111.137
582.911,Industrial,Bogota,299,1154.319,166.922
2079.574,Residencial,Barranquilla,383,2867.387,440.43
314.898,Residencial,Bogota,334,448.703,71.394
3134.748,Industrial,Medellin,96,4961.735,820.353
3146.757,Residencial,Barranquilla,24,3315.733,516.96
3898.953,Remodelacion,Cali,52,3528.797,796.683
870.684,Comercial,Bogota,152,1299.869,206.614
3536.915,Comercial,Medellin,307,5780.73,817.594
2428.701,Comercial,Barranquilla,370,3818.387,561.407
3980.138,Remodelacion,Bogota,92,4359.931,954.4
2881.102,Industrial,Cali,204,5048.578,645.6
1105.556,Residencial,Barranquilla,368,1417.734,208.821
1734.098,Comercial,Barranquilla,248,2512.36,393.572
2359.828,Residencial,Cali,123,2629.569,396.091
2719.09,Residencial,Cali,358,3309.632,553.531
982.415,Residencial,Cali,269,1231.799,196.825
1446.507,Comercial,Barranquilla,158,2004.638,285.994
3060.997,Remodelacion,Rural,279,2885.608,709.38
273.331,Comercial,Barranquilla,131,385.467,55.436
117.988,Comercial,Bogota,161,195.89,27.131
2209.975,Industrial,Rural,175,3316.576,481.998
2550.82,Remodelacion,Rural,27,1979.122,507.763
1110.318,Comercial,Rural,65,1371.106,197.841
565.899,Residencial,Rural,315,677.175,105.646
3046.17,Remodelacion,Cali,416,3504.405,708.533
2011.756,Residencial,Barranquilla,38,2192.957,362.073
2137.469,Comercial,Medellin,285,3711.732,478.6
3721.928,Residencial,Medellin,428,5644.607,788.09
3428.284,Remodelacion,Bogota,268,3784.114,913.076
2910.788,Remodelacion,Rural,179,2684.135,599.659
3753.396,Remodelacion,Medellin,408,4463.071,906.214
204.113,Residencial,Cali,472,286.942,40.282
956.223,Industrial,Bogota,218,1839.713,269.78
915.464,Remodelacion,Bogota,109,888.205,222.712
210.929,Remodelacion,Rural,87,175.544,43.892
3859.202,Residencial,Rural,390,4791.646,686.258
353.082,Residencial,Cali,140,426.22,67.735
3026.486,Remodelacion,Medellin,478,3612.71,842.038
1731.764,Comercial,Bogota,122,2544.088,397.365
2009.91,Industrial,Barranquilla,373,3810.03,537.639
899.746,Remodelacion,Rural,335,831.286,195.925
780.33,Comercial,Rural,32,925.21,138.164
469.368,Remodelacion,Bogota,150,503.12,106.263
1001.254,Residencial,Barranquilla,139,1162.051,162.413
2623.077,Industrial,Bogota,84,4338.063,721.125
1574.807,Comercial,Medellin,463,2622.947,424.732
3300.89,Residencial,Rural,465,4384.11,703.632
2801.581,Comercial,Rural,280,3745.295,519.087
2729.067,Residencial,Medellin,311,3616.526,598.067
3649.992,Remodelacion,Bogota,432,4319.787,987.847
1334.106,Residencial,Bogota,30,1601.846,229.824
1403.341,Residencial,Rural,55,1376.789,217.564
1159.313,Comercial,Medellin,373,2001.389,264.508
340.916,Residencial,Barranquilla,430,451.748,65.479
2387.273,Remodelacion,Barranquilla,263,2282.159,504.574
3100.41,Remodelacion,Bogota,283,3725.684,856.94
3048.241,Industrial,Barranquilla,435,5450.346,908.214
1030.83,Industrial,Barranquilla,448,1896.454,268.554
2082.027,Residencial,Medellin,414,3062.262,498.138
2614.38,Comercial,Cali,32,3437.115,532.019
1037.155,Remodelacion,Bogota,401,1263.371,291.171
1364.13,Industrial,Barranquilla,238,2099.858,362.02
2238.619,Residencial,Rural,324,2677.761,443.162
1380.379,Industrial,Cali,266,2205.205,380.709
2758.28,Remodelacion,Bogota,61,3003.462,602.165
737.395,Industrial,Medellin,424,1487.753,207.571
3493.413,Comercial,Medellin,121,5202.377,742.567
2481.343,Residencial,Bogota,255,3266.627,550.648
349.614,Remodelacion,Barranquilla,353,391.014,88.944
1934.811,Industrial,Rural,105,2608.155,403.064
1718.568,Residencial,Barranquilla,216,1958.093,307.461
2573.48,Industrial,Cali,232,4569.809,608.153
2262.842,Residencial,Bogota,372,3514.702,567.287
3100.389,Residencial,Barranquilla,232,3398.075,636.29
1660.927,Comercial,Bogota,240,2751.882,424.78
2417.548,Industrial,Medellin,437,5023.318,677.413
3399.565,Residencial,Barranquilla,414,4760.588,722.959
526.141,Industrial,Medellin,285,905.962,142.692
2815.192,Industrial,Barranquilla,402,5102.898,825.508
3114.621,Remodelacion,Medellin,414,3418.905,877.98
961.725,Residencial,Medellin,290,1326.252,182.647
3762.198,Industrial,Medellin,348,7576.961,1087.38
944.111,Remodelacion,Medellin,474,1130.188,250.769
2935.686,Remodelacion,Medellin,237,3290.922,732.868
580.582,Remodelacion,Medellin,162,559.606,143.034
500.824,Remodelacion,Bogota,432,653.397,147.79
1412.593,Industrial,Barranquilla,64,2155.435,316.079
1013.835,Remodelacion,Barranquilla,50,925.308,207.189
2677.05,Remodelacion,Barranquilla,406,2815.072,621.926
2251.674,Remodelacion,Medellin,291,2476.569,512.147
3331.575,Industrial,Cali,245,5788.552,911.772
2250.898,Comercial,Medellin,292,3754.767,542.169
2562.47,Industrial,Bogota,377,5007.004,809.546
3567.904,Residencial,Bogota,375,5322.145,792.771
869.139,Comercial,Rural,474,1345.442,204.028
1326.429,Remodelacion,Bogota,325,1537.702,320.917
3954.446,Remodelacion,Medellin,419,4722.753,996.678
862.954,Residencial,Bogota,397,1213.183,199.842
3948.184,Remodelacion,Cali,293,4355.892,919.789
3703.231,Residencial,Rural,102,3640.913,583.998
282.83,Industrial,Rural,216,417.939,69.054
2870.255,Remodelacion,Medellin,107,2967.393,638.375
1629.736,Residencial,Cali,433,2241.953,352.803
800.969,Comercial,Bogota,191,1203.847,185.516
1339.82,Industrial,Bogota,345,2791.594,370.563
120.692,Remodelacion,Cali,51,115.993,27.366
1113.591,Remodelacion,Rural,142,928.034,211.581
523.76,Remodelacion,Rural,50,416.423,103.259
3272.262,Residencial,Cali,211,4220.669,671.711
1006.293,Industrial,Cali,223,1589.053,252.445
3318.056,Residencial,Medellin,94,3621.398,673.147
3960.379,Comercial,Medellin,308,6654.074,958.206
3051.081,Remodelacion,Medellin,408,3472.009,754.377
2264.808,Comercial,Cali,193,3560.002,489.648
2863.225,Industrial,Rural,290,4835.074,623.521
1481.955,Remodelacion,Barranquilla,146,1404.631,294.656
3982.536,Remodelacion,Barranquilla,25,3276.219,859.312
1864.114,Residencial,Cali,347,2479.25,347.656
2442.171,Comercial,Cali,189,3822.178,539.195
3974.543,Comercial,Bogota,260,6718.035,957.12
656.524,Comercial,Cali,66,859.572,134.116
416.225,Comercial,Cali,104,613.835,78.596
2317.615,Industrial,Bogota,333,4926.884,703.913
1266.058,Residencial,Rural,371,1638.7,235.847
2712.096,Remodelacion,Rural,411,2733.789,689.16
3934.942,Comercial,Cali,49,5596.186,777.582
1416.907,Comercial,Rural,298,2078.705,265.209
2286.924,Comercial,Cali,90,3312.032,432.165
2602.902,Comercial,Cali,210,3711.677,539.158
2462.743,Comercial,Cali,59,3296.606,450.723
3384.626,Residencial,Medellin,251,4103.888,667.001
3100.27,Industrial,Barranquilla,255,5094.338,779.425
3096.423,Industrial,Medellin,379,5660.51,879.132
3504.068,Industrial,Medellin,305,6146.371,1036.052
1836.156,Industrial,Medellin,50,2853.665,427.426
1045.765,Comercial,Rural,325,1594.041,207.087
3860.03,Residencial,Medellin,99,4378.325,685.302
2559.561,Residencial,Rural,469,3320.042,508.649
283.204,Remodelacion,Bogota,416,342.446,85.997
269.791,Residencial,Bogota,127,313.969,55.621
487.184,Industrial,Bogota,125,821.164,116.176
2494.738,Residencial,Rural,26,2536.308,361.368
1362.014,Industrial,Bogota,444,3112.008,383.94
3969.605,Comercial,Rural,367,5477.83,844.323
1100.197,Comercial,Bogota,34,1647.35,231.902
1343.641,Industrial,Bogota,292,2430.044,397.473
921.164,Comercial,Rural,437,1402.468,199.4
2268.143,Residencial,Bogota,49,2711.391,436.082
3059.352,Residencial,Medellin,467,4224.609,699.455
2825.707,Comercial,Barranquilla,220,4476.128,625.808
103.991,Industrial,Cali,206,178.777,23.55
492.738,Industrial,Barranquilla,234,847.51,122.991
783.52,Residencial,Bogota,200,979.057,178.911
2443.29,Residencial,Rural,270,2666.456,436.059
1213.478,Comercial,Cali,224,1943.734,266.255
3891.97,Remodelacion,Cali,26,3722.942,842.399
168.597,Residencial,Medellin,446,257.311,39.763
3468.631,Comercial,Cali,325,5809.2,718.881
1825.632,Comercial,Bogota,363,3478.688,481.37
3991.635,Comercial,Medellin,34,5174.531,757.14
2409.782,Industrial,Rural,453,4237.831,667.863
549.053,Residencial,Bogota,181,696.867,103.153
2368.352,Industrial,Medellin,57,3833.164,610.361
170.425,Industrial,Cali,172,300.6,41.924
2152.842,Residencial,Rural,338,2342.865,393.789
1814.601,Residencial,Bogota,38,2084.723,330.585
3728.772,Remodelacion,Rural,260,3589.361,816.923
3848.489,Residencial,Rural,80,3653.686,577.926
2013.195,Remodelacion,Barranquilla,179,2125.235,441.113
3028.603,Comercial,Barranquilla,147,4204.051,572.561
3818.744,Comercial,Bogota,378,7421.042,937.367
3952.862,Industrial,Medellin,470,7535.24,1218.959
710.38,Industrial,Bogota,461,1488.381,238.381
2505.387,Comercial,Bogota,392,4383.06,586.686
2502.637,Residencial,Bogota,283,3340.67,499.532
2411.79,Industrial,Cali,265,4222.258,564.901
1838.414,Residencial,Bogota,294,2411.939,413.525
3200.569,Industrial,Barranquilla,38,4451.387,701.712
1521.691,Remodelacion,Rural,381,1601.583,312.731
828.729,Residencial,Medellin,45,872.982,157.988
1426.45,Comercial,Medellin,153,2095.102,300.117
980.645,Industrial,Rural,22,1325.938,186.353
2795.322,Residencial,Medellin,230,3239.808,577.812
1353.588,Industrial,Rural,258,2028.718,313.326
671.81,Remodelacion,Bogota,255,755.746,171.18
3403.086,Comercial,Bogota,202,5371.045,819.923
1405.744,Industrial,Bogota,145,2618.12,373.949
2192.216,Comercial,Medellin,348,3451.945,525.693
2985.694,Industrial,Bogota,283,5985.346,861.963
3504.664,Remodelacion,Medellin,375,3837.486,917.966
1989.841,Industrial,Medellin,258,3366.753,483.41
663.346,Comercial,Barranquilla,265,943.462,140.377
2148.803,Residencial,Barranquilla,197,2690.087,424.31
832.762,Comercial,Barranquilla,191,1258.21,172.336
1182.785,Comercial,Barranquilla,228,1759.551,241.061
2048.582,Industrial,Medellin,284,3892.908,501.007
984.501,Residencial,Medellin,103,1151.678,193.774
3405.036,Residencial,Barranquilla,310,3929.893,692.347
3178.574,Comercial,Rural,200,4363.826,626.723
3362.89,Residencial,Rural,346,3811.51,675.717
1746.554,Industrial,Barranquilla,187,2612.753,421.862
530.12,Remodelacion,Medellin,345,572.178,147.127
2465.354,Residencial,Rural,451,3107.986,490.55
3851.031,Industrial,Medellin,24,6074.551,805.511
2244.319,Residencial,Rural,339,2748.017,431.069
488.505,Industrial,Barranquilla,174,815.716,124.355
73.003,Comercial,Bogota,61,109.628,14.224
1563.34,Residencial,Medellin,437,2314.228,351.018
3179.224,Remodelacion,Cali,205,3349.033,734.357
2582.994,Comercial,Bogota,364,4907.889,701.392
2179.318,Comercial,Medellin,304,3633.799,509.59
639.119,Comercial,Medellin,38,946.885,114.226
1510.674,Remodelacion,Bogota,91,1604.221,361.991
2757.254,Industrial,Medellin,225,5149.849,761.826
285.913,Industrial,Barranquilla,123,457.834,63.83
3229.358,Comercial,Barranquilla,146,4582.288,585.636
3435.917,Remodelacion,Cali,355,3963.528,847.034
1164.519,Remodelacion,Rural,277,1041.884,270.655
1697.141,Comercial,Barranquilla,236,2351.183,329.225
2304.043,Residencial,Cali,199,2761.029,469.092
3329.837,Remodelacion,Cali,451,3726.419,889.236
1450.892,Residencial,Medellin,54,1574.693,281.119
353.367,Remodelacion,Rural,404,347.752,75.803
3440.781,Industrial,Barranquilla,438,6767.144,883.592
2153.276,Comercial,Medellin,260,3558.493,476.495
2204.956,Comercial,Medellin,301,3847.24,536.371
3665.131,Comercial,Cali,161,5060.232,811.53
2213.841,Comercial,Bogota,450,4131.567,533.825
1085.748,Industrial,Rural,194,1652.402,221.456
831.824,Remodelacion,Bogota,194,911.661,224.867
1882.791,Remodelacion,Medellin,420,2257.068,530.65
2600.269,Comercial,Bogota,49,4129.326,583.6
2532.542,Industrial,Medellin,363,4714.744,699.87
96.156,Industrial,Rural,64,128.534,21.865
2098.284,Residencial,Rural,93,2095.799,374.1
2849.042,Industrial,Rural,304,4864.406,659.098
2171.823,Industrial,Rural,185,3160.298,525.086
215.601,Residencial,Rural,74,224.288,38.031
3017.591,Comercial,Cali,322,4720.703,711.608
3821.108,Comercial,Cali,216,5596.01,780.311
3580.281,Comercial,Bogota,57,5230.6,742.152
3500.114,Residencial,Barranquilla,448,4492.025,765.103
2602.243,Industrial,Medellin,29,3727.147,548.867
638.494,Comercial,Cali,459,1085.795,165.747
1693.232,Residencial,Bogota,81,2114.034,329.358
3166.724,Residencial,Medellin,228,3955.052,670.235
3473.615,Remodelacion,Rural,217,3107.256,762.316
